Date,OILPRODUS
2002-01-01,5848
2002-02-01,5871
2002-03-01,5883
2002-04-01,5859
2002-05-01,5924
2002-06-01,5915
2002-07-01,5770
2002-08-01,5811
2002-09-01,5411
2002-10-01,5363
2002-11-01,5597
2002-12-01,5699
2003-01-01,5785
2003-02-01,5791
2003-03-01,5817
2003-04-01,5774
2003-05-01,5733
2003-06-01,5701
2003-07-01,5526
2003-08-01,5595
2003-09-01,5683
2003-10-01,5635
2003-11-01,5560
2003-12-01,5579
2004-01-01,5570
2004-02-01,5556
2004-03-01,5607
2004-04-01,5526
2004-05-01,5548
2004-06-01,5398
2004-07-01,5458
2004-08-01,5333
2004-09-01,5062
2004-10-01,5156
2004-11-01,5396
2004-12-01,5413
2005-01-01,5441
2005-02-01,5494
2005-03-01,5601
2005-04-01,5556
2005-05-01,5581
2005-06-01,5460
2005-07-01,5240
2005-08-01,5218
2005-09-01,4204
2005-10-01,4534
2005-11-01,4837
2005-12-01,4984
2006-01-01,5048
2006-02-01,5032
2006-03-01,5027
2006-04-01,5082
2006-05-01,5151
2006-06-01,5163
2006-07-01,5094
2006-08-01,5040
2006-09-01,5031
2006-10-01,5108
2006-11-01,5064
2006-12-01,5186
2007-01-01,5108
2007-02-01,5118
2007-03-01,5119
2007-04-01,5180
2007-05-01,5211
2007-06-01,5075
2007-07-01,5038
2007-08-01,4970
2007-09-01,4902
2007-10-01,5022
2007-11-01,5034
2007-12-01,5111
2008-01-01,5115
2008-02-01,5148
2008-03-01,5189
2008-04-01,5180
2008-05-01,5143
2008-06-01,5138
2008-07-01,5177
2008-08-01,5003
2008-09-01,3974
2008-10-01,4738
2008-11-01,5078
2008-12-01,5103
2009-01-01,5138
2009-02-01,5236
2009-03-01,5210
2009-04-01,5278
2009-05-01,5374
2009-06-01,5263
2009-07-01,5389
2009-08-01,5406
2009-09-01,5555
2009-10-01,5515
2009-11-01,5378
2009-12-01,5438
2010-01-01,5390
2010-02-01,5548
2010-03-01,5506
2010-04-01,5383
2010-05-01,5391
2010-06-01,5381
2010-07-01,5299
2010-08-01,5442
2010-09-01,5611
2010-10-01,5621
2010-11-01,5567
2010-12-01,5602
2011-01-01,5492
2011-02-01,5399
2011-03-01,5612
2011-04-01,5552
2011-05-01,5613
2011-06-01,5578
2011-07-01,5430
2011-08-01,5651
2011-09-01,5583
2011-10-01,5886
2011-11-01,6001
2011-12-01,6032
2012-01-01,6161
2012-02-01,6245
2012-03-01,6301
2012-04-01,6296
2012-05-01,6351
2012-06-01,6269
2012-07-01,6421
2012-08-01,6329
2012-09-01,6563
2012-10-01,6946
2012-11-01,7037
2012-12-01,7088
2013-01-01,7025
2013-02-01,7144
2013-03-01,7208
2013-04-01,7355
2013-05-01,7316
2013-06-01,7268
2013-07-01,7483
2013-08-01,7531
2013-09-01,7784
2013-10-01,7699
2013-11-01,7873
2013-12-01,7899
2014-01-01,8051
2014-02-01,8136
2014-03-01,8274
2014-04-01,8573
2014-05-01,8612
2014-06-01,8718
2014-07-01,8782
2014-08-01,8886
2014-09-01,9041
2014-10-01,9221
2014-11-01,9303
2014-12-01,9467
2015-01-01,9385
2015-02-01,9511
2015-03-01,9578
2015-04-01,9650
2015-05-01,9464
2015-06-01,9344
2015-07-01,9430
2015-08-01,9400
2015-09-01,9460
2015-10-01,9388
2015-11-01,9318
2015-12-01,9251
2016-01-01,9197
2016-02-01,9055
2016-03-01,9081
2016-04-01,8866
2016-05-01,8824
2016-06-01,8670
2016-07-01,8635
2016-08-01,8670
2016-09-01,8519
2016-10-01,8787
2016-11-01,8888
2016-12-01,8778
2017-01-01,8863
2017-02-01,9103
2017-03-01,9162
2017-04-01,9100
2017-05-01,9183
2017-06-01,9110
2017-07-01,9246
2017-08-01,9245
2017-09-01,9516
2017-10-01,9659
2017-11-01,10077
2017-12-01,9979
2018-01-01,9996
2018-02-01,10276
2018-03-01,10461
2018-04-01,10493
2018-05-01,10424
2018-06-01,10628
2018-07-01,10888
2018-08-01,11373
2018-09-01,11422
2018-10-01,11488
2018-11-01,11868
2018-12-01,11924
2019-01-01,11848
2019-02-01,11653
2019-03-01,11899
2019-04-01,12125
2019-05-01,12141
2019-06-01,12179
2019-07-01,11896
2019-08-01,12475
2019-09-01,12572
2019-10-01,12771
2019-11-01,12966
2019-12-01,12910
2020-01-01,12785
2020-02-01,12826
2020-03-01,12816
2020-04-01,11911
2020-05-01,9711
2020-06-01,10420
2020-07-01,10956
2020-08-01,10558
2020-09-01,10868
2020-10-01,10413
2020-11-01,11121
2020-12-01,11084
2021-01-01,11056
2021-02-01,9773
2021-03-01,11160
2021-04-01,11230
2021-05-01,11312
2021-06-01,11307
2021-07-01,11307
2021-08-01,11141
2021-09-01,10809
2021-10-01,11387
