Date,Values
01-01-2002,5848
01-02-2002,5871
01-03-2002,5883
01-04-2002,5859
01-05-2002,5924
01-06-2002,5915
01-07-2002,5770
01-08-2002,5811
01-09-2002,5411
01-10-2002,5363
01-11-2002,5597
01-12-2002,5699
01-01-2003,5785
01-02-2003,5791
01-03-2003,5817
01-04-2003,5774
01-05-2003,5733
01-06-2003,5701
01-07-2003,5526
01-08-2003,5595
01-09-2003,5683
01-10-2003,5635
01-11-2003,5560
01-12-2003,5579
01-01-2004,5570
01-02-2004,5556
01-03-2004,5607
01-04-2004,5526
01-05-2004,5548
01-06-2004,5398
01-07-2004,5458
01-08-2004,5333
01-09-2004,5062
01-10-2004,5156
01-11-2004,5396
01-12-2004,5413
01-01-2005,5441
01-02-2005,5494
01-03-2005,5601
01-04-2005,5556
01-05-2005,5581
01-06-2005,5460
01-07-2005,5240
01-08-2005,5218
01-09-2005,4204
01-10-2005,4534
01-11-2005,4837
01-12-2005,4984
01-01-2006,5048
01-02-2006,5032
01-03-2006,5027
01-04-2006,5082
01-05-2006,5151
01-06-2006,5163
01-07-2006,5094
01-08-2006,5040
01-09-2006,5031
01-10-2006,5108
01-11-2006,5064
01-12-2006,5186
01-01-2007,5108
01-02-2007,5118
01-03-2007,5119
01-04-2007,5180
01-05-2007,5211
01-06-2007,5075
01-07-2007,5038
01-08-2007,4970
01-09-2007,4902
01-10-2007,5022
01-11-2007,5034
01-12-2007,5111
01-01-2008,5115
01-02-2008,5148
01-03-2008,5189
01-04-2008,5180
01-05-2008,5143
01-06-2008,5138
01-07-2008,5177
01-08-2008,5003
01-09-2008,3974
01-10-2008,4738
01-11-2008,5078
01-12-2008,5103
01-01-2009,5138
01-02-2009,5236
01-03-2009,5210
01-04-2009,5278
01-05-2009,5374
01-06-2009,5263
01-07-2009,5389
01-08-2009,5406
01-09-2009,5555
01-10-2009,5515
01-11-2009,5378
01-12-2009,5438
01-01-2010,5390
01-02-2010,5548
01-03-2010,5506
01-04-2010,5383
01-05-2010,5391
01-06-2010,5381
01-07-2010,5299
01-08-2010,5442
01-09-2010,5611
01-10-2010,5621
01-11-2010,5567
01-12-2010,5602
01-01-2011,5492
01-02-2011,5399
01-03-2011,5612
01-04-2011,5552
01-05-2011,5613
01-06-2011,5578
01-07-2011,5430
01-08-2011,5651
01-09-2011,5583
01-10-2011,5886
01-11-2011,6001
01-12-2011,6032
01-01-2012,6161
01-02-2012,6245
01-03-2012,6301
01-04-2012,6296
01-05-2012,6351
01-06-2012,6269
01-07-2012,6421
01-08-2012,6329
01-09-2012,6563
01-10-2012,6946
01-11-2012,7037
01-12-2012,7088
01-01-2013,7025
01-02-2013,7144
01-03-2013,7208
01-04-2013,7355
01-05-2013,7316
01-06-2013,7268
01-07-2013,7483
01-08-2013,7531
01-09-2013,7784
01-10-2013,7699
01-11-2013,7873
01-12-2013,7899
01-01-2014,8051
01-02-2014,8136
01-03-2014,8274
01-04-2014,8573
01-05-2014,8612
01-06-2014,8718
01-07-2014,8782
01-08-2014,8886
01-09-2014,9041
01-10-2014,9221
01-11-2014,9303
01-12-2014,9467
01-01-2015,9385
01-02-2015,9511
01-03-2015,9578
01-04-2015,9650
01-05-2015,9464
01-06-2015,9344
01-07-2015,9430
01-08-2015,9400
01-09-2015,9460
01-10-2015,9388
01-11-2015,9318
01-12-2015,9251
01-01-2016,9197
01-02-2016,9055
01-03-2016,9081
01-04-2016,8866
01-05-2016,8824
01-06-2016,8670
01-07-2016,8635
01-08-2016,8670
01-09-2016,8519
01-10-2016,8787
01-11-2016,8888
01-12-2016,8778
01-01-2017,8863
01-02-2017,9103
01-03-2017,9162
01-04-2017,9100
01-05-2017,9183
01-06-2017,9110
01-07-2017,9246
01-08-2017,9245
01-09-2017,9516
01-10-2017,9659
01-11-2017,10077
01-12-2017,9979
01-01-2018,9996
01-02-2018,10276
01-03-2018,10461
01-04-2018,10493
01-05-2018,10424
01-06-2018,10628
01-07-2018,10888
01-08-2018,11373
01-09-2018,11422
01-10-2018,11488
01-11-2018,11868
01-12-2018,11924
01-01-2019,11848
01-02-2019,11653
01-03-2019,11899
01-04-2019,12125
01-05-2019,12141
01-06-2019,12179
01-07-2019,11896
01-08-2019,12475
01-09-2019,12572
01-10-2019,12771
01-11-2019,12966
01-12-2019,12910
01-01-2020,12785
01-02-2020,12826
01-03-2020,12816
01-04-2020,11911
01-05-2020,9711
01-06-2020,10420
01-07-2020,10956
01-08-2020,10558
01-09-2020,10868
01-10-2020,10413
01-11-2020,11121
01-12-2020,11084
01-01-2021,11056
01-02-2021,9773
01-03-2021,11160
01-04-2021,11230
01-05-2021,11312
01-06-2021,11307
01-07-2021,11307
01-08-2021,11141
01-09-2021,10809
01-10-2021,11387
